num_rooms;m2;price;zip_code
2.5;66.41732283;1370;9220
4.5;110.4352941;1630;9404
4.5;116;1930;1870
2.5;59;970;1723
3.5;155;1890;3177
5.5;160;3900;1012
3.5;85;2190;3052
3.5;74;1650;1721
4.5;135;1980;3177
2;44;1490;3007
2.5;62;1450;9320
3.5;90;1570;3145
3.5;140;1700;3096
5.5;162;2750;5037
3;65;1540;3006
3.5;86.183391;1190;2502
2.5;57;1170;9403
4.5;144;3170;3052
3;60;950;5612
3.5;90;1990;4532
1.5;20;810;6900
3;70;1700;3014
4.5;86;1550;2543
4.5;122;3100;4147
3.5;86.183391;1840;3008
1;24;1090;8103
2;50;1500;8713
4.5;130;1750;4552
5;129.625;1850;3177
4;78;1300;3600
3.5;98;2150;5737
4.5;134;2380;5737
4.5;134;2450;5737
4.5;134;2400;5737
4.5;134;2350;5737
4.5;134;2350;5737
4.5;134;2350;5737
3;70.41538462;1150;2504
3;60;1140;4912
2.5;154;3600;2502
1.5;93;2050;2502
2.5;83;1870;2502
1.5;94;1995;2502
3.5;66;1450;6612
2.5;52;1295;6376
3.5;107;2950;6600
4.5;126;2400;3052
3.5;97;2000;3052
2.5;64;1350;3360
1.5;46.76;850;9000
3.5;86.183391;1200;9000
3.5;79;1150;3465
4.5;90;1440;2555
3;70.41538462;1020;4500
2.5;100;2490;3006
4.5;83;1550;5614
3;65;1550;4054
5;92;3550;1206
2;56;1220;8200
3;70;1525;4058
3;66;1170;4127
1;28;1150;8006
3;63;1360;6600
3.5;80;1745;4058
2.5;62;1110;8750
3.5;83;1810;6010
3.5;92;1860;3603
3.5;65;1620;8400
4.5;118;2600;8200
3.5;78;1500;4528
2.5;55;920;2543
4.5;120;1620;6982
2.5;60;1140;6982
2.5;60;1150;6982
4.5;96;1970;8912
3;101;2710;4051
2;56;1305;1700
4.5;79;2025;4103
5.5;132;2270;8409
2;56;1220;8200
3.5;68;1510;3063
3.5;89;1790;4900
3.5;127;2230;9320
1.5;65;820;4704
3;76;2760;1208
3;65;1200;9200
3.5;87;2160;1006
3.5;75;1810;6600
2.5;66;2890;8006
3.5;91;1950;6010
2.5;62;1710;4133
3.5;90;2040;4133
4.5;102;2150;5610
3.5;73;1670;5610
2.5;52;1330;5610
1.5;38;1040;5610
1.5;71;1650;8180
3.5;91;2800;8041
3.5;105;1990;8620
4;84;1300;8734
2;49;1420;8800
4;74;1160;9403
4.5;122;1880;9470
2;50;1400;1260
2.5;55;1368;1630
